Globe,Land,Ocean,NH,Land,Ocean,SH,Land,Ocean,Trpcs,Land,Ocean,NoExt,Land,Ocean,SoExt,Land,Ocean,NoPol,Land,Ocean,SoPol,Land,Ocean,USA48,USA49,AUST
-0.08,-0.32,0.07,-0.33,-0.60,-0.06,0.17,0.22,0.16,0.11,0.13,0.10,-0.56,-0.85,-0.19,0.21,0.32,0.18,0.31,0.18,0.51,0.86,0.79,0.91,-0.97,-1.08,0.19
0.01,0.01,0.01,-0.17,-0.14,-0.19,0.18,0.31,0.14,0.12,0.03,0.17,-0.32,-0.17,-0.50,0.22,0.49,0.15,1.30,1.58,0.85,1.05,1.06,1.04,-1.15,-0.63,0.70
-0.10,-0.32,0.02,-0.42,-0.72,-0.13,0.21,0.46,0.12,0.07,-0.07,0.14,-0.69,-0.95,-0.34,0.30,0.95,0.12,-0.22,-0.65,0.48,1.47,2.01,1.04,-1.49,-1.37,0.59
0.04,0.04,0.03,-0.23,-0.27,-0.20,0.30,0.64,0.19,0.19,0.19,0.18,-0.46,-0.44,-0.49,0.38,1.07,0.19,-0.62,-0.53,-0.77,1.88,2.58,1.33,-0.59,-0.56,0.39
0.08,0.08,0.08,-0.09,-0.16,-0.02,0.25,0.54,0.15,0.25,0.23,0.26,-0.25,-0.28,-0.20,0.24,0.77,0.10,-0.25,-0.54,0.22,0.83,1.17,0.57,-0.46,-0.38,0.83
0.04,-0.17,0.17,-0.03,-0.20,0.14,0.11,-0.10,0.19,0.26,0.16,0.32,-0.17,-0.31,0.01,0.03,-0.34,0.13,-0.48,-0.73,-0.08,-0.49,-0.64,-0.36,-0.69,-0.61,0.19
-0.00,0.09,-0.05,-0.04,-0.10,0.01,0.04,0.45,-0.09,0.04,0.00,0.06,-0.10,-0.14,-0.03,0.05,0.86,-0.16,-0.79,-0.92,-0.59,1.60,2.70,0.73,0.79,0.60,-0.15
0.05,0.15,-0.01,-0.07,-0.04,-0.10,0.17,0.53,0.04,-0.05,-0.13,-0.01,-0.07,0.00,-0.15,0.26,1.03,0.06,0.08,0.55,-0.68,1.30,2.27,0.54,0.10,-0.11,0.69
0.07,0.13,0.03,-0.09,-0.15,-0.04,0.23,0.68,0.07,0.08,0.08,0.09,-0.18,-0.22,-0.14,0.30,1.16,0.07,-0.24,-0.12,-0.44,1.42,2.19,0.80,0.56,0.40,1.45
-0.03,-0.06,-0.02,0.02,-0.04,0.08,-0.09,-0.09,-0.09,0.04,0.09,0.02,-0.01,-0.10,0.11,-0.14,-0.19,-0.13,0.85,0.85,0.84,-0.52,-0.44,-0.59,-0.46,-0.17,-0.06
-0.00,0.20,-0.12,-0.04,0.12,-0.18,0.03,0.36,-0.08,-0.03,-0.03,-0.03,-0.09,0.16,-0.41,0.12,0.69,-0.04,-1.52,-1.20,-2.03,0.83,1.60,0.22,0.11,0.20,0.89
-0.16,-0.12,-0.18,-0.26,-0.23,-0.29,-0.05,0.10,-0.10,-0.07,-0.14,-0.03,-0.36,-0.24,-0.52,-0.04,0.26,-0.13,-1.04,-0.64,-1.68,0.11,0.43,-0.14,0.94,0.42,0.09
0.02,0.22,-0.10,-0.09,0.32,-0.47,0.12,0.04,0.15,-0.17,-0.24,-0.14,-0.03,0.53,-0.74,0.26,0.18,0.28,1.39,2.65,-0.63,-0.00,-0.20,0.15,0.43,1.14,0.56
0.06,0.03,0.08,-0.14,-0.05,-0.22,0.26,0.19,0.28,-0.19,-0.21,-0.18,-0.14,0.00,-0.32,0.52,0.51,0.52,-0.21,0.15,-0.77,0.63,0.51,0.72,0.20,0.21,0.56
0.02,0.13,-0.05,-0.08,0.09,-0.23,0.11,0.21,0.08,-0.09,-0.13,-0.07,-0.08,0.19,-0.42,0.23,0.40,0.18,0.27,0.24,0.32,1.38,1.97,0.90,-1.56,-0.93,-1.21
-0.11,-0.07,-0.14,-0.12,0.01,-0.24,-0.10,-0.23,-0.06,-0.06,-0.08,-0.05,-0.18,0.02,-0.44,-0.10,-0.30,-0.04,-0.28,-0.58,0.20,0.22,-0.60,0.86,1.81,1.51,0.66
-0.04,-0.10,0.00,-0.05,-0.09,-0.00,-0.02,-0.12,0.01,-0.03,-0.06,-0.01,-0.09,-0.12,-0.04,0.01,-0.12,0.04,0.03,0.13,-0.12,0.22,-0.18,0.54,-0.63,-0.13,-0.40
