Globe,Land,Ocean,NH,Land,Ocean,SH,Land,Ocean,Trpcs,Land,Ocean,NoExt,Land,Ocean,SoExt,Land,Ocean,NoPol,Land,Ocean,SoPol,Land,Ocean,USA48,USA49,AUST
0.56,0.80,0.42,0.71,0.91,0.53,0.41,0.59,0.35,0.63,0.69,0.59,0.70,0.91,0.44,0.36,0.70,0.27,1.53,1.63,1.36,0.70,1.07,0.40,-0.28,-0.15,0.67
0.55,0.76,0.42,0.61,0.75,0.48,0.48,0.79,0.38,0.77,0.98,0.67,0.49,0.62,0.31,0.37,0.77,0.26,1.91,1.58,2.45,0.80,1.22,0.48,-1.67,-1.17,0.32
0.57,0.77,0.45,0.71,0.83,0.59,0.43,0.67,0.35,0.71,0.80,0.66,0.68,0.80,0.53,0.31,0.66,0.22,1.26,0.82,1.97,0.41,0.68,0.20,0.57,0.34,0.47
0.40,0.52,0.33,0.61,0.64,0.59,0.19,0.27,0.16,0.63,0.74,0.58,0.58,0.61,0.55,-0.02,-0.12,0.00,1.92,1.82,2.07,-0.72,-0.94,-0.54,0.72,0.69,0.96
0.46,0.57,0.40,0.64,0.70,0.58,0.28,0.31,0.27,0.71,0.82,0.64,0.58,0.65,0.49,0.08,-0.08,0.13,2.10,2.04,2.20,-0.79,-0.76,-0.82,-0.61,-0.30,0.20
0.38,0.34,0.40,0.45,0.51,0.40,0.31,0.01,0.40,0.48,0.65,0.40,0.47,0.50,0.42,0.18,-0.60,0.39,0.50,0.20,0.98,-1.35,-2.16,-0.70,0.43,0.38,0.40
0.36,0.32,0.39,0.48,0.62,0.35,0.24,-0.26,0.41,0.34,0.45,0.28,0.58,0.72,0.41,0.16,-0.97,0.47,0.59,0.96,0.00,-1.72,-2.80,-0.86,0.51,0.41,0.20
0.38,0.43,0.35,0.50,0.64,0.37,0.25,0.02,0.33,0.24,0.41,0.16,0.67,0.76,0.56,0.22,-0.41,0.39,0.88,0.92,0.82,-1.02,-1.64,-0.53,0.85,0.89,0.18
0.45,0.48,0.43,0.37,0.46,0.29,0.52,0.50,0.53,0.15,0.37,0.04,0.55,0.56,0.54,0.65,0.41,0.71,0.80,0.53,1.22,0.59,0.37,0.76,0.64,0.93,-0.07
0.30,0.44,0.22,0.25,0.48,0.03,0.36,0.35,0.36,0.02,0.27,-0.11,0.39,0.56,0.17,0.51,0.41,0.54,1.11,0.99,1.29,0.73,0.81,0.67,0.72,0.70,-0.42
0.25,0.45,0.13,0.36,0.77,-0.03,0.13,-0.18,0.24,-0.20,0.02,-0.32,0.64,0.98,0.21,0.32,-0.27,0.47,0.87,1.16,0.40,-0.36,-0.57,-0.20,0.18,0.53,-0.49
0.16,0.35,0.05,0.23,0.51,-0.03,0.09,0.04,0.11,-0.37,-0.08,-0.53,0.54,0.69,0.35,0.35,0.19,0.40,1.12,1.09,1.18,-0.26,-0.11,-0.37,-0.07,-0.23,0.30
0.02,0.10,-0.03,0.02,0.07,-0.03,0.02,0.17,-0.02,-0.40,-0.09,-0.56,0.22,0.09,0.39,0.26,0.47,0.21,1.63,1.64,1.62,-0.18,0.33,-0.58,-0.75,-0.24,0.87
