Globe,Land,Ocean,NH,Land,Ocean,SH,Land,Ocean,Trpcs,Land,Ocean,NoExt,Land,Ocean,SoExt,Land,Ocean,NoPol,Land,Ocean,SoPol,Land,Ocean,USA48,USA49,AUST
-0.34,-0.51,-0.24,-0.26,-0.31,-0.22,-0.42,-0.91,-0.25,-0.34,-0.15,-0.44,-0.21,-0.38,0.01,-0.47,-1.48,-0.21,-0.73,-0.80,-0.62,-2.00,-2.70,-1.45,0.49,0.16,-0.80
-0.09,-0.08,-0.10,-0.03,0.09,-0.14,-0.16,-0.42,-0.07,-0.43,-0.44,-0.42,0.21,0.29,0.10,-0.05,-0.48,0.07,0.48,0.66,0.21,-0.60,-0.95,-0.32,1.95,1.94,0.03
-0.06,-0.04,-0.08,-0.06,0.10,-0.21,-0.07,-0.30,0.01,-0.42,-0.35,-0.46,0.14,0.23,0.03,0.11,-0.22,0.19,0.41,0.47,0.32,-0.48,-0.62,-0.37,1.31,1.30,0.18
0.03,0.25,-0.10,0.17,0.50,-0.15,-0.11,-0.22,-0.07,-0.28,-0.22,-0.31,0.40,0.72,0.00,-0.03,-0.20,0.02,0.57,0.88,0.07,-0.63,-0.52,-0.71,0.57,0.50,-0.21
0.04,0.06,0.04,0.05,0.20,-0.09,0.04,-0.21,0.12,-0.17,-0.14,-0.18,0.17,0.31,-0.01,0.14,-0.27,0.25,-0.23,0.01,-0.60,-0.03,-0.23,0.13,1.43,0.86,-0.50
-0.00,0.02,-0.02,-0.05,0.03,-0.12,0.04,0.00,0.05,-0.28,-0.26,-0.29,0.08,0.11,0.04,0.20,0.23,0.19,-0.27,0.04,-0.76,0.49,0.90,0.15,0.08,0.09,-0.88
-0.09,0.02,-0.15,-0.07,0.11,-0.24,-0.10,-0.15,-0.09,-0.29,-0.28,-0.29,-0.00,0.18,-0.23,0.04,0.10,0.03,0.10,0.38,-0.35,0.66,0.84,0.53,0.01,-0.08,-0.17
-0.12,-0.01,-0.19,0.01,0.11,-0.09,-0.25,-0.26,-0.25,-0.15,-0.19,-0.13,0.08,0.20,-0.06,-0.30,-0.27,-0.30,0.21,0.21,0.21,-0.07,0.29,-0.35,0.53,0.32,-0.72
-0.00,0.07,-0.04,0.05,0.05,0.04,-0.05,0.09,-0.10,-0.18,-0.13,-0.20,0.16,0.10,0.23,0.02,0.32,-0.06,-0.10,-0.16,-0.02,0.63,1.04,0.31,0.52,0.32,0.77
-0.02,-0.15,0.05,-0.03,-0.14,0.08,-0.02,-0.17,0.03,-0.04,-0.10,-0.01,-0.02,-0.14,0.14,-0.02,-0.26,0.05,0.64,0.42,1.01,-0.29,-0.67,0.02,0.09,0.04,-0.40
-0.01,-0.04,0.01,-0.03,-0.17,0.11,0.01,0.22,-0.06,0.05,0.04,0.06,-0.08,-0.25,0.13,0.00,0.38,-0.10,0.79,0.80,0.77,0.84,1.57,0.26,-1.66,-1.14,-0.07
-0.05,-0.05,-0.05,-0.00,-0.05,0.04,-0.09,-0.05,-0.11,0.00,-0.00,0.00,-0.04,-0.07,-0.01,-0.11,-0.08,-0.11,0.56,0.54,0.60,-0.31,-0.01,-0.55,-1.52,-0.90,-0.13
-0.05,0.00,-0.08,0.00,0.09,-0.08,-0.10,-0.17,-0.08,-0.24,-0.24,-0.24,0.10,0.17,0.02,-0.00,-0.02,0.00,0.27,0.17,0.44,-0.22,-0.25,-0.19,-0.23,0.07,0.48
